Open,High,Low,Close
142,148,138.399994,145.800003
145,152,141,151.800003
144.800003,146.399994,136,136
136.399994,138.800003,125.800003,131.399994
130,133.600006,125.400002,128.199997
125,126.800003,112.199997,118
116.400002,121.800003,114.199997,115
114.400002,116.599998,111.400002,112.199997
105.800003,108.400002,104,105
100,100,85.199997,91
90.400002,96.199997,82.800003,91.599998
91,91.800003,84.199997,87.400002
87.199997,95.800003,86.800003,90
87.550003,90,79.099998,83.050003
81.5,86.150002,80.550003,82.150002
81.75,88.25,78.650002,79.400002
75.050003,76.449997,68.599998,70.650002
71.25,77.849998,71,74.949997
76.25,76.349998,71.150002,75.550003
72.900002,75.5,71.400002,75
77.699997,82.099998,77.699997,79.75
81.349998,88.75,81.300003,88.25
92.900002,96,90.400002,92.400002
98.349998,98.699997,87.650002,93.75
94.650002,97.400002,93.25,96
102.5,106,98.050003,101.949997
99.849998,99.849998,90.699997,91.900002
94.400002,94.900002,90.900002,92.199997
94.300003,98.050003,93.800003,95.900002
97,97.650002,85.550003,86.199997
84.150002,89.849998,78.400002,88.349998
85.650002,87.349998,82.050003,84.75
89.699997,89.75,86.199997,86.400002
83.199997,85.099998,82.699997,83.300003
83.349998,85.099998,79.300003,82.199997
79.949997,83.550003,79.550003,82
84.699997,86.650002,83,85.300003
87.099998,87.650002,82.150002,86.75
90.849998,102.75,90.650002,102
98.949997,103.449997,96.599998,101.5
98.5,99.150002,92.150002,96.150002
90.599998,95.400002,90.550003,91.25
89.5,98.949997,89.25,96.199997
95.099998,105.449997,95,102.599998
108.449997,109,83.800003,88.599998
85.550003,92.400002,85.050003,88.599998
89.050003,91.75,86.800003,90.099998
87.449997,91,86.050003,86.400002
86.699997,86.800003,83.599998,85.75
85.25,90.400002,85.099998,89.75
92.75,96.25,91.900002,94.900002
98.699997,100.25,96.5,100
94.25,99.849998,94.099998,96.75
98.650002,99.949997,94.25,94.449997
96.099998,98.650002,93.300003,98.449997
95.5,96.199997,90,92.199997
91.099998,94.449997,91.050003,93.099998
88.349998,88.75,83.75,84.150002
84.199997,86.949997,81.400002,85.900002
84.800003,84.900002,80.849998,82.050003
80,80.099998,74.099998,76.599998
74.75,82.099998,74.199997,81.75
80.800003,83.25,77.25,82.75
85.5,87.099998,83.5,83.800003
83.75,84.800003,79.550003,80.400002
84.349998,86,83.199997,83.900002
86.099998,88.5,86,86.849998
89.400002,90.150002,87.400002,88.449997
87.75,89.550003,85.599998,87.800003
86.699997,90.099998,86.199997,88.550003
90.800003,91.150002,88.699997,90.099998
90.5,90.900002,83.800003,84.949997
84.75,87.349998,83.150002,83.550003
83.5,94.800003,83.099998,92.400002
92.550003,93.300003,86.650002,88.25
89.050003,93.900002,89,93.300003
92.449997,95.5,91.400002,93.150002
91.699997,96.199997,91,92.599998
91.349998,93.849998,89.300003,89.800003
89.949997,91.349998,88.25,89
86.5,86.949997,81.199997,82.949997
81.599998,83.550003,80.900002,81.550003
82.800003,83.449997,78.550003,82.099998
85.949997,87.25,83.550003,85.75
89.150002,90.349998,87.949997,89.849998
89.349998,92.400002,87.650002,92.25
89.050003,90.75,87.25,87.949997
83.349998,85.25,82.599998,84.25
83.800003,91.199997,83.25,89.849998
91.25,92.75,88.400002,90.25
93.349998,94.75,88.550003,90.099998
91.150002,94,91.150002,94
92.550003,94.099998,90.949997,91.099998
92.699997,93.400002,90.400002,93.099998
92,95.150002,91.449997,93.75
95,96.349998,90.75,94.650002
96.5,105.599998,96.5,105.400002
111.949997,113.699997,102.699997,107.300003
106.75,107,101.550003,102.75
103.199997,113.199997,103.199997,112.75
115.599998,115.949997,109.099998,114.650002
117.349998,125.400002,117.25,125.199997
123.050003,126.949997,116.550003,119.900002
125,128.800003,122.550003,127.650002
127.5,127.800003,118.050003,120.849998
113.949997,119.599998,109.650002,110.699997
110.349998,115.949997,109,114.449997
113.400002,113.400002,105.349998,107.099998
106.25,110.849998,104.800003,109.949997
109.900002,110.5,103.900002,105
100.050003,101.599998,95.849998,97.400002
98.199997,100.099998,97,99.25
100.25,104.099998,90.300003,94.099998
90,95.599998,89.849998,91.449997
94.199997,96.75,93,95.349998
93.949997,102,93.699997,100.349998
96.5,98.949997,92.099998,93.900002
90.75,92.849998,89.050003,89.349998
90.400002,93.849998,89.349998,91.599998
92.5,92.75,89.349998,89.650002
88.75,90.650002,86.550003,89.300003
90.199997,93.949997,89.599998,92.699997
94.650002,95.400002,92.699997,95
94.699997,95.199997,90.349998,90.849998
90.900002,97.199997,88.550003,96.900002
98.5,101.050003,96.75,100.5
102,102.199997,95.550003,96.5
97.599998,99.949997,92.050003,99.849998
98.800003,99.400002,96.25,97.300003
99.5,99.849998,95.150002,96.800003
96.599998,97.25,89.25,91.150002
89.5,91.25,87.650002,90.400002
89.949997,91,88.099998,88.349998
90,91.300003,88.849998,89.75
88,88.449997,85.199997,85.849998
84.400002,85.900002,81.75,84.150002
83.150002,84.099998,80.550003,81.150002
81.150002,81.5,78.349998,79
79.650002,79.900002,74.150002,75.25
74.449997,77.849998,73.199997,76.099998
74.449997,80.75,74.449997,79.400002
77.25,77.349998,75.150002,75.800003
76.900002,80.5,75.699997,76.400002
77.599998,80.75,77.400002,78.599998
79.900002,79.900002,74.849998,76.449997
76.5,82.599998,76,81.300003
80.050003,80.650002,77.099998,79.199997
81,82.75,80.25,80.650002
81.800003,81.800003,78.300003,79.699997
79.25,79.800003,75.550003,76.099998
76.949997,77.199997,74.050003,74.550003
73.400002,75,71.949997,73
74.400002,74.5,72.099998,74.099998
73.400002,74.849998,73.150002,74.400002
75.300003,78.800003,74.650002,77.599998
75.599998,75.849998,72.5,73.5
74.449997,76.650002,74.25,74.949997
76.5,78.900002,76.300003,78
76.599998,79.150002,76,76.599998
79.050003,79.5,76.800003,78.300003
78.449997,78.75,75.949997,76.849998
74.949997,74.949997,72.150002,72.699997
71.849998,74.050003,70.599998,72.099998
72.099998,76.150002,71.699997,72.599998
71.5,71.800003,69.400002,69.75
68.599998,68.699997,64.650002,66.699997
65.199997,66.650002,63.099998,63.950001
61.549999,63.049999,60.200001,61.400002
61.849998,64.050003,61.799999,63.200001
63.700001,66,62.349998,63.400002
62.650002,63.900002,62.200001,63.799999
63.400002,72.75,63.400002,71.050003
70.5,71.599998,67.449997,70.75
72.849998,72.949997,69.400002,70.199997
71.699997,74.25,71.699997,73.449997
73.900002,75.400002,72.400002,74.25
75.5,79.900002,75.050003,78.75
78.650002,82.75,78.25,81.199997
82.599998,85.5,81.349998,84.550003
86.400002,90.599998,85.300003,90.199997
91.199997,91.300003,87.150002,89.699997
90.5,91.5,87.150002,89.550003
90.5,91.449997,87.75,88.800003
91.5,96.699997,90.75,96.599998
95.650002,96.699997,87.300003,91.650002
90.599998,93.800003,88.849998,93.150002
90.900002,93.449997,90.300003,91.099998
90.25,90.650002,86.099998,87
84.199997,84.25,81.050003,81.900002
84.699997,87,82.900002,84.650002
85.75,87.449997,85.650002,86.699997
88.75,94.849998,88.75,94.050003
95.199997,99.800003,93.800003,99.099998
97.599998,100.699997,93.599998,94.150002
94.5,95.25,87.900002,88.599998
90.400002,91.900002,89.400002,89.650002
90.25,92.150002,88.150002,90.199997
88.550003,95,85.900002,94.300003
99.25,102.5,98.099998,99.800003
100.75,101.449997,88.75,89.900002
91.5,93.949997,90.150002,91.550003
88.75,89,81,82.099998
84.699997,85,77.800003,78.900002
81.25,84,75.75,82.599998
80.099998,83.150002,78.650002,82.099998
77.900002,77.900002,71.5,72.349998
73.099998,74,70.050003,73
70,71.75,66.800003,67.199997
65.75,69.75,64.400002,65.300003
65.900002,69,64.400002,65.849998
65.949997,66.099998,56.700001,61.299999
62.950001,69.900002,61.599998,67.650002
68.550003,70.449997,66.75,69.349998
69.5,80.150002,67.199997,79.150002
79.800003,80.699997,74.5,79.550003
77.300003,78.400002,69.5,72.300003
69.5,71,65.400002,66.300003
68.650002,73.199997,66,66
67.650002,68.449997,65.550003,65.75
66.300003,68.900002,65.349998,68.099998
70.199997,71.800003,69.150002,71.650002
